紫雪,紫雪，用于热病，高热烦燥，神昏谵语，惊风抽搐，斑疹叶衄，尿赤便秘。
右旋糖酐铁片,右旋糖酐铁片（Iron Dextran Tablets），用于慢性失血、营养不良、妊娠、儿童发育期等引起的缺铁性贫血。
感冒灵颗粒,感冒灵颗粒，解热镇痛。用于感冒引起的头痛，发热，鼻塞，流涕，咽痛。
安神补脑液,安神补脑液，商品名维奥。健脑安神，生精补髓，益气养血。用于神经衰弱，失眠，健忘，头晕，乏力。
双氯芬酸二乙胺凝胶,双氯芬酸二乙胺凝胶（Didofenac　Diethylamine　Gel），商品名仕象。本品适用于缓解局部的疼痛及炎症。局限性软组织病，如腱鞘炎、肩-手综合征和滑囊炎、关节周围病变、四肢与脊柱的骨关节炎；肌腱、韧带、肌肉和关节的创伤后炎症，如扭伤、劳损和挫伤。
氟康唑胶囊,氟康唑胶囊（Fluconazole Capsules），商品名三维康、大扶康、扶达、扶维、扶亢。本品主要用于以下适应症中病情较重的患者： 1.念珠菌病：用于治疗口咽部和食道念珠菌感染;播散性念珠菌病，包括腹膜炎、肺炎、尿路感染等;念珠菌外阴阴道炎。尚可用于骨髓移植患者接受细胞毒类药物或放射治疗时，预防念珠菌感染的发生。 2.隐球菌病：用于治疗脑膜以外的新型隐球菌病;治疗隐球菌脑膜炎时，本品可作为两性霉素B联合氟胞嘧啶初治后的维持治疗药物。 3.球孢子菌病。 4.用于接受化疗、放疗和免疫抑制治疗患者的预防治疗。 5.本品亦可替代伊曲康唑用于芽生菌病和组织胞浆菌病的治疗。
盐酸地匹福林滴眼液,盐酸地匹福林滴眼液（Dipivefrine Hydrochloride Eye Drops），治疗开角型青光眼和高眼压症。对闭角型青光眼虹膜切除后的残余性青光眼有效。对其他类型的继发性开角型青光眼和青光眼睫状体炎综合征也有效。
三肾丸,【药品名称】三肾丸
氟尿嘧啶注射液,氟尿嘧啶注射液（Fluorouracil Injection），宣肺化痰，止咳平喘。用于风寒咳嗽、痰喘引起的咳嗽气喘、胸闷、痰多；急、慢性支气管炎见上述证候者。
甘草锌胶囊,甘草锌胶囊（Licorzine Capsules），用于因缺锌而引起的生长发育迟缓，营养不良，厌食症、异食癖以及口腔溃疡和痤疮。
小儿葫芦散,小儿葫芦散，用于痰喘咳嗽，脘腹胀满，胸膈不利，吐乳不食，小儿惊风。
甘桔冰梅片,拼音名： Gan Jie Bingmei Pian
迈之灵片,迈之灵片，商品名迈之灵片2盒疗程装。1.各种原因所致的慢性静脉功能不全、静脉曲张、深静脉血栓形成及血栓性静脉炎后综合征。症状如：下肢肿胀、痉挛、瘙痒、灼热、麻木、疼痛、疲劳沉重感、皮肤色素沉着、郁血性皮炎、溃疡及精索静脉曲张引起的肿痛等。2.各种原因所致的软组织肿胀、静脉性水肿。症状如：各类外伤、创伤、烧烫伤、各种手术后以及肿瘤等所致的肢体水肿和组织肿胀。3.痔静脉曲张引起的内、外痔急性发作症状。症状如：肛门潮湿、瘙痒、便血、疼痛等。
肿节风片,肿节风片，清热解毒，消肿散结。用于肺炎、阑尾炎、蜂窝组织炎属热毒壅盛证候者，并可用于癌症辅助治疗。
乳酸左氧氟沙星滴眼液,乳酸左氧氟沙星滴眼液（Levofloxacin Lactate Eye Drops），适用于治疗细菌性结膜炎、角膜炎、角膜溃疡、泪囊炎等外眼感染。
盐酸金刚乙胺口服溶液,盐酸金刚乙胺口服溶液（Rimantadine Hydrochloride Oral Solution），商品名立安。本品的抗病毒作用与金刚烷胺类似，但抗病毒谱较广，抗A2型病毒、副流感病毒等效果均优于金刚胺。用于预防亚洲A2型流感病毒的感染，疗效优于金刚烷胺。
九味益脑颗粒,九味益脑颗粒，活血化痰，补肾益智。适用于老年期血管性痴呆轻症之髓海不足兼痰瘀阻络证。症见近事善忘，呆钝少言，头晕耳鸣，肢体麻木不遂等。
利巴韦林气雾剂,利巴韦林气雾剂（Ribavirin Aerosol），商品名信韦灵。用于病毒性上呼吸道感染，如病毒性鼻炎、咽峡炎、咽结膜热或口咽部病毒感染。
磷霉素氨丁三醇散,磷霉素氨丁三醇散（Pulveres Fosfomycin Trometamol），用于对本品敏感的致病菌所引起的下尿路感染，如膀胱炎、尿道炎。
化毒丹,【药物组成】真犀角1两，川黄连1两，桔梗1两，玄参1两，薄荷叶1两，粉甘草1两，青黛5钱，大黄（酒蒸9次）5钱，朱砂3钱（另研极细）。
接骨七厘片,接骨七厘片，活血化瘀，接骨止痛。用于跌打损伤，续筋接骨，血瘀疼痛。
碘解磷定注射液,碘解磷定注射液（Pralidoxime Iodide Injection），对急性有机磷杀虫剂抑制的胆碱酯酶活力有不同程度的复活作用，用于解救多种有机磷酸酯类杀虫剂的中毒。但对马拉硫磷、敌百虫、敌敌畏、乐果、甲氟磷（dimefox）、丙胺氟磷（mipafox）和八甲磷(schradan)等的中毒效果较差；对氨基甲酸酯杀虫剂所抑制的胆碱酯酶无复活作用。
枸橼酸钙片,枸橼酸钙片（Calcium Citrate Tablets），商品名司特立。用于预防和治疗钙缺乏症，如骨质疏松、手足抽搐症、骨发育不全、佝偻病以及儿童、妊娠和哺乳期妇女、绝经期妇女、老年人钙的补充。
白癜风丸,白癜风丸，益气行滞，活血解毒，利湿消斑，驱风止痒。主治白癜风。用于皮色变白，不伴痒痛，好发于头面及颈项手足易暴露部位，甚或遍及全身，白变呈斑点状，或成大片状，发展时期皮色可显粉红色，白色之皮肤内毛发变白，有的中间可有褐色斑点等症。
盐酸氟西汀分散片,盐酸氟西汀分散片（Prozac），商品名百忧解。各种抑郁性精神障碍、包括轻性或重性抑郁症、双相情感性精神障碍的抑郁症，心因性抑郁及抑郁性神经症。
化痔栓,化痔栓，止血，止痛，消炎，解毒，收敛。用于内外痔疮，混合痔疮。
屏风生脉胶囊,屏风生脉胶囊，1.用于治疗气血两虚引起的心悸自汗、气短乏力、贫血等症。2.用于气阴两虚型冠心病，心肌炎，心绞痛，心律失常。3.用于治疗感冒、流感及支气管哮喘等呼吸道疾病。4.用于久病之后或手术、放化疗后体虚的恢复用药。5.用于妇女阴阳不调、内分泌失调、月经紊乱及更年期综合征。
亚硒酸钠片,亚硒酸钠片（Sodium Selenite Tablets），缺硒患者以及地方性疾病克山病的防治，以及长时间依靠静脉高营养维持的缺硒患者。
注射用硫酸核糖霉素,注射用硫酸核糖霉素（Ribostamycin Sulfate for Injection），本品适用于敏感肠杆菌科细菌如大肠埃希菌、克雷伯菌属、变形杆菌属、志贺菌属等引起的各种严重感染，如肺炎、败血症、胆道感染等。通常多与广谱半合成青霉素类、头孢菌素类或其他抗菌药物联合应用。
蒿甲醚注射液,蒿甲醚注射液（Artemether Injection），适用于各型疟疾，但主要用于抗氯喹恶性疟治疗和凶险型恶性疟的急救。
咽炎含片,　　
更年舒片,更年舒片，滋补肝肾，养阴补血，化瘀调经，调气温肾，营养神经，调节代谢功能。适用于绝经前后引起的月经不调，头昏，心悸，失眠。
肾衰宁片,【药品名称】
补肾丸,补肾丸，补肾强身。用于神衰倦怠，头晕心悸，眼花耳聋。
酞丁安乳膏,酞丁安乳膏（Ftibamzone Ointment），用于单纯疱疹、带状疱疹；也可用于浅表真菌感染，如体癣、股癣、手足癣。
保妇康栓,保妇康栓，行气破瘀，生肌止痛。用于湿热瘀滞所致的带下病，症见带下量多、色黄、时有阴部瘙痒；霉菌性阴道炎、老年性阴道炎、宫颈糜烂见上述证候者。
氧氟沙星眼膏,氧氟沙星眼膏（Tarivid Inj），商品名泰利必妥。眼睑炎、麦粒肿、泪囊炎、结膜炎、角膜炎、角膜溃疡、术后感染、眼膏剂对沙眼也有良效。
栀子金花丸,栀子金花丸，清热泻火，凉血解毒。用于肺胃热盛，口舌生疮，牙龈肿痛，目赤眩晕，咽喉肿痛，大便秘结
止咳片,止咳片，润肺定喘，祛痰止咳。用于咳嗽，痰多，气喘.
羟糖甘滴眼液,羟糖甘滴眼液（Hypromellose 2910, Dextran 70 and Glycerol Eye Drops），商品名新泪然。干眼症。减轻眼部干燥引起的灼热、刺激感等不适症状，保护眼球免刺激，减轻由于暴露于风沙或阳光下造成的眼部不适。
血宝胶囊,【方剂名称】血宝胶囊
振源胶囊,振源胶囊，滋补强壮，安神益智，增强免疫功能，调节内分泌和自主神经功能紊乱，增强心肌收缩力，提高心脏功能，保肝和抗肿瘤等作用。主要用于治疗冠心病，更年期综合证，久病体弱，神经衰弱，隐性糖尿病，亦可用于慢性肝炎和肿瘤的辅助治疗。
首乌延寿片,首乌延寿片，补肝肾，养精血。用于肝肾两虚，精血不足而致的头晕目眩，耳鸣健忘，鬓发早白，腰膝酸软。
烟酰胺片,烟酰胺片（Nicotinamide Tablets），用于预防和治疗烟酸缺乏症，如糙皮病、口炎、舌炎。
盐酸美他环素片,盐酸美他环素片（Metacycline　Hydrochloride　Tablets），1．本品作为首选或选用药物可用于下列疾病：(1)立克次体病，包括流行性斑疹伤寒、地方性斑疹伤寒、洛矶山热、恙虫病和Q热。(2)支原体属感染。(3)衣原体属感染，包括鹦鹉热、性病性淋巴肉芽肿、非淋菌性尿道炎、输卵管炎、宫颈炎及沙眼。(4)回归热。(5)布鲁菌病。(6)霍乱。(7)兔热病。(8)鼠疫。(9)软下疳。治疗布鲁菌病和鼠疫时需与氨基糖苷类联合应用。2．由于目前常见致病菌对四环素类耐药现象严重，仅在病原菌对此类药物敏感时，方有指征选用该类药物。本品不宜用于溶血性链球菌感染及葡萄球菌感染。3．本品可用于对青霉素类过敏患者的破伤风、气性坏疽、雅司、梅毒、淋菌性尿道炎、宫颈炎和钩端螺旋体病以及放线菌属和李斯特菌感染。4．可用于中、重度痤疮的辅助治疗。
盐酸左布诺洛尔滴眼液,盐酸左布诺洛尔滴眼液（Levobunolol Hydrochloride Ophthalmic Solution），商品名贝他根。适用于开角性青光眼及眼压高患者的治疗。
盐酸哌甲酯片,盐酸哌甲酯片（Methylphenidate Hydrochloride Tablet），商品名利太林。用于注意缺陷多动障碍(儿童多动综合症，轻度脑功能失调)、发作性睡病，以及巴比妥类、水合氯醛等中枢抑制药过量引起的昏迷
清喉利咽颗粒,清喉利咽颗粒，商品名慢严舒柠。清热利咽，宽胸润喉。用于外感风热所致的咽喉发干、声音嘶哑；急慢性咽炎，扁桃体炎见上述证候者，常用有保护声带作用
三七胶囊,三七胶囊，散瘀止血，消肿定痛。用于外伤出血，跌扑肿痛。
骨筋丸胶囊,骨筋丸胶囊，活血化瘀，舒筋通络，祛风止痛。用于肥大性脊柱炎、颈椎病、跟骨刺、增生性关节炎、大骨节病等。
己酮可可碱肠溶片,己酮可可碱肠溶片（Pentoxifylline　Enteric-coated　Tablets），商品名贝通。主要用于缺血性中风后脑循环的改善，同时可用于周围血管病，如伴有间歇性的跛行的慢性闭塞性脉管炎等的治疗。
辅酶Q10片,辅酶Q10片（Coenzyme Q10 Tablets），商品名能气朗。本品用于下列疾病的辅助治疗：1、心血管疾病，如：病毒性心肌炎、慢性心功能不全。2、肝炎，如：病毒性肝炎、亚急性肝坏死、慢性活动性肝炎。3、癌症的综合治疗：能减轻放疗、化疗等引起的某些不良反应。
维磷糖浆,维磷糖浆（Divitamins and Sodium Phosphate Syrup），用于植物神经功能紊乱引起的头晕目眩、精神疲倦以及低磷血症。
小败毒膏,【标准来源】部颁标准第八册
积雪苷霜软膏,积雪苷霜软膏，伤口：如各种手术切口、剖腹产、植皮、创伤、火器伤等。溃疡：如糖尿病、静脉曲张、血管栓塞、损伤、射线伤、手术等诱发的久治不愈的溃疡、痤疮及瘘等。烧灼伤：如各度烧伤、烫伤、化学品及日光灼伤等。粘连：如肌腱粘连、腹腔粘连和皮肤粘连等。瘢痕：如增生性瘢痕和瘢痕挛缩、瘢痕疙瘩、色素沉着和功能受限等。特殊手术：整形整容手术、五官科、妇产科手术和儿童手术。硬皮病：结缔组织纤维化的胶原性疾病等。
天麻蜜环菌片,天麻蜜环菌片，定惊，熄风。用于眩晕头痛，惊风癫痫，肢体麻木，腰膝酸痛。
二甲双胍格列本脲片(Ⅰ),二甲双胍格列本脲片(Ⅰ)（Metformin Hydrochloride and Glibenclamide Tablets(I)），商品名安禾。1 用于单纯饮食控制和/或运动疗法血糖水平未得到满意控制2型糖尿病病人。
肌苷口服溶液,肌苷口服溶液（Inosine Oral Solution），用于急、慢性肝炎的辅助治疗。
风湿痛药酒,其他名称：风湿骨痛药酒
注射用复合辅酶,注射用复合辅酶（Coenzyme Complex for Injection），商品名贝科能。于急、慢性肝炎，原发性血小板减少性紫癜，化、放疗所引起的白细胞和血小板降低；对冠状动脉硬化、慢性动脉炎、心肌梗死、肾功能不全引起的少尿、尿毒症等有一定的辅助治疗作用。
盐酸纳洛酮注射液,盐酸纳洛酮注射液（Naloxone Hydrochloride Injection），本品是目前临床应用最广的阿片受体拮抗药。主要用于以下几方面： (1)解救麻醉性镇痛药急性中毒，拮抗这类药的呼吸抑制，并使病人苏醒。 (2)拮抗麻醉性镇痛药的残余作用。新生儿受其母体中麻醉性镇痛药影响而致呼吸抑制，可用本品拮抗。 (3)解救急性乙醇中毒：静注纳洛酮0.4～0.6mg，可使患者清醒。 (4)对疑为麻醉性镇痛药成瘾者，静注0.2～0.4mg可激发戒断症状，有诊断价值。 (5)促醒作用，可能通过胆碱能作用而激活生理性觉醒系统使病人清醒，用于全麻催醒及抗休克和某些昏迷病人。
抗骨髓炎片,抗骨髓炎片
盐酸异丙肾上腺素注射液,盐酸异丙肾上腺素注射液（Isoprenaline Hydrochloride Injection），1 治疗心源性或感染性休克。2 治疗完全性房室传导阻滞，心搏骤停。
注射用特利加压素,注射用特利加压素（Terlipressin for Injection），商品名可利新。1．胃肠道出血，如食管静脉曲张出血、胃或十二指肠溃疡出血，以及其它胃肠道出血。2．泌尿生殖系统出血，如功能性或其它原因引起的子宫出血、生产或流产等引起的出血。3．术后出血的治疗，特别是腹腔和盆腔区域的出血。4．妇科手术的局部使用，如在子宫颈的手术。5．肝肾综合征，如（慢性肝炎、重型肝炎、肝硬化等）合并肝肾综合征，也用于肝移植患者术前术后肝肾综合征的治疗或预防等。6．顽固性（对儿茶酚胺抵抗性）休克，如败血症性休克等对扩容或和或儿茶酚胺等常规治疗无反应时。
朱砂莲胶囊,朱砂莲胶囊
维生素C咀嚼片,【药品名称】
鸦胆子油乳注射液,鸦胆子油乳注射液，抗癌药。用于肺癌、肺癌脑转移及消化道肿瘤。
驱虫消食片,驱虫消食片，消积杀虫，健脾开胃。用于小儿疳气，虫积，身体羸瘦，不思饮食。
胆石片,胆石片，舒肝利胆、行气止痛。用于胆囊结石和肝内胆管结石气滞证，症见：右上腹疼痛，或阵发性绞痛，痛引肩背，腹胀，胃脘痞满，厌食油腻等。
脉络舒通颗粒,拼音名：Mailuo Shutong Keli
参芍片,参芍片，商品名步长参芍片。活血化瘀，益气止痛。适用于气虚血瘀所致的胸闷、胸痛、心悸、气短等症。
消栓通络片,消栓通络片，商品名哈佛通络消栓通络片。本品具有活血化瘀，温经通络的功能。用于血脂增高，脑血栓引起的精神呆滞，舌质发硬，言语迟涩，发音不清，手足发凉，活动疼痛。
降糖胶囊,降糖胶囊，清热生津，滋阴润燥。用于消渴症，多饮、多尿、多食、消瘦、体倦无力及全身综合症。
酞丁安滴眼液,酞丁安滴眼液（Ftibamzone Eye Drops），商品名乐克沙。用于治疗各种沙眼；也可用于单纯疱疹病毒I型与II型及水痘-带状疱疹病毒引起的角膜炎。
复方桔梗止咳片,复方桔梗止咳片，镇咳、祛痰药。
喷托维林氯化铵糖浆,喷托维林氯化铵糖浆（Pentoxyverine　Citrate　and　Ammonium　Chloride　Syrup），用于各种原因引起的咳嗽、咳痰。
小儿奇应丸,小儿奇应丸，解热定惊 ，化痰止咳 ，消食杀虫。用于小儿惊风发热，咳嗽多痰，食积，虫积。
银黄颗粒,银黄颗粒，商品名银黄颗粒(冲剂)、必能。清热，解毒，消炎。用于急慢性扁桃体炎，急慢性咽喉炎，上呼吸道感染。
复方延胡索喷雾剂,复方延胡索喷雾剂，
玻璃酸钠滴眼液,玻璃酸钠滴眼液（Sodium Hyaluronate Eye Drops），商品名爱丽、海露、联邦亮晶晶。干燥综合征，斯.约二氏综合征，干眼综合征等内因性疾患；手术后、药物性、外伤、佩戴隐形眼镜等外因性疾患。
痫愈胶囊,药品名称：痫愈胶囊
注射用甲氨蝶呤,注射用甲氨蝶呤（Methotrexate for Injection），1.各型急性白血病，特别是急性淋巴细胞白血病；恶性淋巴瘤，非何杰金淋巴瘤和蕈样肉芽肿，多发性骨髓病。2.恶性葡萄胎、绒毛膜上皮癌、乳腺癌、卵巢癌、宫颈癌、睾丸癌。3.头颈部癌、支气管肺癌、各种软组织肉瘤。4.高剂量用于骨肉病，鞘内注射可用于预防和治疗脑膜白血病以及恶性淋巴瘤的神经侵犯，本品对银屑病也有一定疗效。
薄芝片,薄芝片，本品为治疗硬皮病、红斑狼疮、斑秃、皮肌炎的辅助用药，亦可用于调治神经衰弱和妇女更年期综合症。
尼群地平片,尼群地平片（Nitrendipine　Tablets），商品名资寿。高血压。
跌打丸,跌打丸，&lt;
鼻咽灵片,鼻咽灵片，清热解毒，软坚散结，益气养阴。用于胸膈风热，痰火郁结，热毒上攻，耗气伤津之证。其症状常见口干，咽痛，咽喉干燥灼热，声嘶头痛，鼻塞，流脓涕或涕中带血。也用于治疗急慢性咽炎、口腔炎，鼻咽炎及鼻咽癌放疗、化疗辅助治疗。
速效止泻胶囊,速效止泻胶囊，清热利湿，收敛止泻。用于赤痢、热泻，肠炎等。
盐酸赛庚啶片,盐酸赛庚啶片（Cyproheptadine Hydyochloride Tablets），用于过敏性疾病，如荨麻疹、丘疹性荨麻疹、湿疹、皮肤瘙痒。
清热解毒颗粒,清热解毒颗粒，清热解毒。用于治疗流感，上呼吸道感染。
磷酸川芎嗪氯化钠注射液,分类：化学药品
氯霉素注射液,氯霉素注射液（Chloramphenicol Injection），1.伤寒和其他沙门菌属感染：为敏感菌株所致伤寒、副伤寒的选用药物，由沙门菌属感染的胃肠炎一般不宜应用本品，如病情严重，有合并败血症可能时仍可选用;在成人伤寒、副伤寒沙门菌感染中，以氟喹诺酮类药物为首选(孕妇及小儿不宜用该类药)。 2.耐氨苄西林的B型流感嗜血杆菌脑膜炎或对青霉素过敏患者的肺炎链球菌、脑膜炎奈瑟菌性脑膜炎、敏感的革兰阴性杆菌脑膜炎，本品可作为选用药物之一。 3.脑脓肿，尤其耳源性，常为需氧菌和厌氧菌混合感染。 4.严重厌氧菌感染，如脆弱拟杆菌所致感染，尤其适用于病变累及中枢神经系统者，可与氨基糖苷类抗生素联合应用治疗腹腔感染和盆腔感染，以控制同时存在的需氧和厌氧菌感染。 5.无其他低毒性抗菌药可替代时治疗敏感细菌所致的各种严重感染，如由流感嗜血杆菌、沙门菌属及其他革兰阴性杆菌所致败血症及肺部感染等，常与氨基糖苷类合用。 6.立克次体感染，可用于Q热、落矶山斑点热、地方性斑疹伤寒等的治疗。
吉他霉素片,吉他霉素片（Kitasamycin Tablets），主要用于革兰阳性菌所致的皮肤软组织感染、呼吸道感染、链球菌咽峡炎、猩红热、白喉、军团菌病、百日咳等，以及淋病、非淋病性尿道炎、痤疮等。
复方决明片,复方决明片
乳疾灵颗粒,乳疾灵颗粒
醋酸氯己定栓,醋酸氯己定栓（Chlorhexidine Acetate Suppositories），本品具有广谱抑菌、杀菌作用。适用于宫颈糜烂、化脓性阴道炎、霉菌性阴道炎，也适用于滴虫性阴道炎等。
甲硝唑氯己定洗剂,甲硝唑氯己定洗剂（Metronidozole and Chlorhexidine Lotion），商品名碧洁。用于细菌、滴虫、霉菌引起的各种阴道炎。
硫酸软骨素片,硫酸软骨素片（Chondroitin Sulfate Tablets），降血脂药。主要用于治疗高脂血症。其临床应用包括：1．硫酸软骨素作为保健食品或保健药品长期应用于防治冠心病、心绞痛、心肌梗死、冠状动脉粥样硬化、心肌缺血等疾病，无明显的毒副作用，能显著降低冠心病患者的发病率和死亡率。长期的临床应用发现，在动脉和静脉壁上沉积的脂肪等脂质可以被有效地去除或减少，能显著降低血浆胆固醇，从而防止动脉粥样硬化的形成。2．硫酸软骨素用于治疗神经痛、神经性偏头痛、关节痛、关节炎以及肩胛关节痛，腹腔手术后疼痛等。3．预防和治疗链霉素引起的听觉障碍以及各种噪音引起的听觉困难、耳鸣症等，效果显著。4．对慢性肾炎、慢性肝炎、角膜炎以及角膜溃疡等有辅助治疗作用。5．近年来报道，鲨鱼软骨中的软骨素有抗肿瘤的作用。此外，硫酸软骨素还应用于化妆品以及外伤伤口的愈合剂等。6．硫酸软骨素还用于滴眼剂。
盐酸罗哌卡因注射液,盐酸罗哌卡因注射液（Ropivacaine Hydrochloride Injection），商品名恒洛、耐乐品、卓坦。盐酸罗哌卡因适用于外科手术麻醉，包括剖宫产术区域阻滞急性疼痛控制持续硬膜外输注或间歇性单次用药，如术后或分娩镇痛
硫化钠薄荷脑溶液,[商标/商品名]：硫化钠薄荷脑溶液
银蜜片,主治功能 独特优势
复方水杨酸甲酯乳膏,复方水杨酸甲酯乳膏（Compound　Methyl　Salicylate　Cream），商品名联邦正通高。风湿疼痛、神经痛、关节痛、肌肉痛、扭伤、挫伤、肩膀酸痛、腰痛。对感冒引起的头痛、鼻塞，用之起提神醒脑的作用.
葡萄糖酸钙锌口服溶液,葡萄糖酸钙锌口服溶液（Calcium Zinc Gluconate Oral Solution），补钙、补锌药，用于治疗缺钙及缺锌性疾病：如佝偻病、骨质疏松及缺锌引起的儿童生长和智力发育迟缓以及食欲不振等症。
乙酰麦迪霉素干混悬剂,乙酰麦迪霉素干混悬剂（Acetylmidecamycin　for　Suspension），商品名美力泰、美欧卡。对本品敏感的葡萄球菌、溶血性链球菌、肺炎球菌、流感杆菌、肺炎支原体等引起的毛囊炎、疖、痈、蜂窝组织炎、皮下脓肿、中耳炎、咽喉炎、扁桃体炎、支气管炎、肺炎等。
参附注射液,参附注射液（Shen fu injection），益气温阳。回阳救逆，益固脱。主治：气虚、阳虚所致胸痹、怔忡；咳喘；放化疗后气虚血亏术后体虚；阳虚水肿、尿频；胃疼、泄泻；痹症；肾阳不足之畏寒肢冷、腰酸软、阳痿；劂脱及各种慢性病见有阳虚（气虚）症状者等。 适应症：各型休克：心源性休克、感染性休克、失血性休克、创伤性休克、过敏性休克、神经性休克。心脏疾病：充血性心力衰竭、心律失常，病态窦房结综合症、房室传导阻滞、心肌炎、心肌梗塞、冠心病、肺心病。　血液疾病：再生障碍性贫血、高凝倾向、放疗、化疗所致白细胞减少、血小板减少。 手术前后稳定血压，血液透析后低血压。 其他：支气管哮喘、多器官功能失常综合症（MODS）、糖尿病及其继发症、各类免疫功能受损或低下、各种虚寒慢性疾病辅助治疗、肾上腺皮质功能减退、关节炎、风湿性关节炎、类风湿性关节炎、肩周炎、冻疮。
狂犬病人免疫球蛋白,人狂犬病免疫球蛋白（Human Rabies Immunoglobulin），商品名依生保尔。主要用于被狂犬或其他疯动物咬伤、抓伤患者的被动免疫。所有怀疑有狂犬病暴露的病人均应联合使用狂犬病疫苗和人狂犬病免疫球蛋白。如果病人接种过狂犬病疫苗并且具有足够的抗狂犬病抗体滴度，仅再次接种疫苗而不使用本品。
头孢泊肟酯胶囊,头孢泊肟酯胶囊（Cefpodoxime Proxetil Capsules），商品名亮博。本品为适用于敏感菌引起的下列感染： 1. 上呼吸道感染：例如：耳、鼻和喉部感染，包括急性中耳炎、鼻窦炎、扁桃体炎和咽喉炎等； 2. 下呼吸道感染：例如：社区获得性肺炎、慢性支气管炎急性发作； 3. 单纯性泌尿道感染：例如：膀胱炎； 4. 单纯性皮肤和皮肤软组织感染：毛囊炎（包括脓性痤疮）、疖、痈、丹毒、蜂窝织炎、淋巴管（结）炎、化脓性甲沟炎、皮下脓肿、汗腺炎、簇状痤疮、皮脂腺囊肿合并感染； 5. 急性单纯性淋球菌性尿道炎和子宫颈炎，由奈瑟氏淋球菌引起的肛周炎。
阿西美辛缓释胶囊,阿西美辛缓释胶囊（Acemetacin Sustained Release Capsules），商品名高顺松、优妥。（1）类风湿性关节炎、骨关节炎、强直性脊椎炎。（2）肩周炎、滑囊炎、肌腱鞘炎。（3）腰背痛、扭伤、劳损及其它软组织损伤。（4）急性痛风。（5）痛经、牙痛和术后疼痛。
重楼解毒酊,重楼解毒酊，苗医旭嘎怡沓痂，泱安漳砧，迫喔经挡孟蒋刚欧娃囊、港么给普，泻嘎发，蒋底嘎熊及仿。中医清热解毒，散瘀止痛。用于肝经火毒所致的带状疱疹，皮肤瘙痒，虫咬皮炎，流行性腮腺炎。
金水宝胶囊,金水宝胶囊，用于肺肾两虚，精气不足所致的久咳虚喘，神疲乏力，不寐健忘，腰膝酸软，月经不调。
长春西汀片,长春西汀片（Vinpocetine Tablets），商品名多力康。适用于脑梗死后遗症、脑出血后遗症、脑动脉硬化症等。
抗饥消渴片,抗饥消渴片，养阴益气，润燥生津，抗津止渴。用于非胰岛素依赖型糖尿病，对慢性萎缩性胃炎，胃阴虚者也有一定作用。
盐酸氯丙嗪注射液,盐酸氯丙嗪注射液（Chlorpromazine Hydrochloride Injection），1 对兴奋躁动、幻觉妄想、思维障碍及行为紊乱等阳性症状有较好的疗效。用于精神分裂症、躁狂症或其他精神病性障碍。2 止呕，各种原因所致的呕吐或顽固性呃逆。
骨刺平片,骨刺平片，补精壮髓,壮筋健骨，通络止痛。用于骨质增生(包括肥大性腰椎炎，胸椎炎，颈椎综合症，四支骨节增生)。
醋酸氢化可的松注射液,醋酸氢化可的松注射液（Hydrocortisone Acetate Injection），肾上腺皮质功能减退症及垂体功能减退症，也用于过敏性和炎症性疾病，抢救危重中毒性感染。
乳康片,乳康片，疏肝解郁，理气止痛，活血破瘀，消积化痰，软坚散结，补气健脾。用于乳腺增生病。
正骨膏,正骨膏
曲安奈德注射液,曲安奈德注射液（Triamcinolone Acetonide Injection），商品名康宁克通-A注射液。1、风湿性、类风湿性关节炎；2、支气管哮喘、过敏性鼻炎、荨麻疹；3、急性扭伤、肩周炎、腱鞘炎、滑囊炎、慢性腰腿痛；4、各种皮肤病（如神经性皮炎、温疹、牛皮癣、疤痕疙瘩、肥厚性疤痕等）。
米格列醇片,米格列醇片（Miglitol　Tablets），配合饮食控制治疗糖尿病，降低餐后血糖峰，显著控制糖化血红蛋白，保护心肌，有效改善Ⅱ型DM的血糖控制，可单独或联合用药。
金嗓散结胶囊,金嗓散结胶囊
复方愈创木酚磺酸钾口服溶液,复方愈创木酚磺酸钾口服溶液（Compound Guaiacol Potassium Sulfonale Oral Solution），用于感冒及过敏性支气管炎引起的咳嗽、多痰。
轻身消胖丸,轻身消胖丸，益气、利湿，降脂、消胖，用于单纯性肥胖症。
益肝乐胶囊,益肝乐胶囊，清热利湿，舒肝解郁。用于湿热蕴蒸，身目俱黄或 两胁痞满，疼痛，体倦懒食，溲赤便溏，舌苔黄腻 等；急、慢性肝炎属上述证候者。
四季三黄片,四季三黄片，消炎退热，通便利水。用于口鼻生疮，咽疼齿痛，口干舌燥，目眩头晕，大便秘结，小便赤黄。
顽癣净,顽癣净，祛风止痒，保湿杀虫。用于手癣、脚癣、股癣、体癣等各种皮肤癣证。
氯化钠滴眼液,氯化钠滴眼液（Sodium Chloride Eye Drops），商品名艾那多。用于暂时性缓解眼部干涩症状。
齐多拉米双夫定片,齐多拉米双夫定片（Zidovudine and Lamivudine Tablets），商品名双汰芝。本药属核苷类逆转录酶抑制剂，能降低HIV-1的病毒载量，增加CD4 细胞数。临床结果表明能显著降低疾病进展的危险性和死亡率。本药在肝细胞代谢，由肾排出。 HIV感染的成人及12岁以上儿童。
